agno                            	Estudios_previos                	edad                            	altura                          	peso                            	numero_pie                      	cigarrillos                     	alcohol                         
2006          	logse         	18            	175      	73       	43       	0        	fines    
2006          	logse         	17            	184      	78       	43       	0        	fines    
2006          	otro          	20            	180      	56       	39       	0        	fines    
2006          	logse         	18            	165      	62       	42       	0        	fines    
2006          	otros         	20            	173      	65       	43       	0        	fines    
2007          	logse         	22            	172      	65       	39       	0        	fines    
2007          	logse         	20            	165      	56       	38       	0        	fines    
2007          	logse         	19            	174      	75       	42       	0        	fines    
2007          	logse         	19            	170      	56       	39       	0        	fines    
2007          	logse         	18            	157      	61       	39       	0        	fines    
2007          	logse         	18            	168      	73       	43       	0        	fines    
2007          	logse         	19            	152      	45       	37       	0        	fines    
2007          	logse         	18            	158      	49       	36       	0        	nunca    
2007          	otros         	21            	162      	65       	39       	0        	fines    
2007          	logse         	20            	180      	70       	44       	0        	nunca    
2008          	logse         	18            	169      	58       	38       	4        	fines    
2008          	logse         	17            	170      	68       	39       	0        	fines    
2008          	logse         	18            	176      	72       	42       	0        	fines    
2008          	logse         	18            	         	72       	45       	         	fines    
2008          	otro          	23            	165      	65       	37       	5        	fines    
2008          	logse         	18            	163      	44       	38       	4        	fines    
2008          	logse         	18            	185      	75       	43       	0        	fines    
2009          	logse         	17            	170      	56       	38       	0        	fines    
2009          	logse         	18            	168      	60       	38       	5        	fines    
2009          	otros         	20            	160      	53       	37       	5        	fines    
2009          	otros         	20            	175      	78       	42       	0        	fines    
2009          	otros         	18            	178      	79       	42       	0        	fines    
2009          	logse         	18            	158      	44       	36       	0        	fines    
2009          	fp            	21            	187      	88       	42       	0        	fines    
2010          	logse         	18            	185      	95       	46       	1        	fines    
2010          	logse         	21            	175      	68       	42       	2.5      	fines    
2010          	logse         	23            	180      	68       	42       	0        	fines    
