Ciudad,Agno,Regiondelmundo,Indicepreciossinalquiler,Indiceprecioconalquiler,Indicesalariosbruto,Indicesalariosneto,Horasanualesdetrabajo,Vacacionesanualespagadas,Podercomprabruto,Podercompraneto,TiempotrabajoporKgpan,Tiempotrabajoporhamburguesa,Gastoalimentos,Gastocestacompra,Preciovestidomujer,Preciotrajehombre,Preciopiso4habamueblado,Preciopiso3habsinamueblar,Precioalquiler,Precioelectrodomesticos,Preciotranviaometroobus,Preciotaxi,Preciocoche,Preciorestaurante,Precionochedehotel,Precioserviciosvarios,Impuestosycontribucionessocialescomo%salariobruto,Salarioporhoraneto,Maestro,Choferdeautobus,Mecanicodecoche,Obrerodelaconstruccion,Tornero,Jefedecocina,Directordefabrica,Ingeniero,Cajerobanco,Secretariadedireccion,Dependienta,Trabajadortextil,Ingresopromedioanualneto,Ejefactorialingreso1,Ejefactorialingreso2,Ejefactorialingreso3,Ejefactorialingreso4,Ejefactorialingreso5,Maestro/Med,Chofer/Med,Mecanico/Med,Obreroconstr/Med,Tornero/Med,Jefedecocina/Med,Diretorfabrica/Med,Ingeniero/Med,Cajerobanco/Med,Secretariadireccion/Med,Dependienta/Med,Trabajadortext/Med,Desigualdadsalarial,Manualescalificados,Femeninosnocalificados,Ejefactorialinformes1,Ejefactorialinformes2,Ejefactorialinformes3,Ejefactorialinformes4,Ejefactorialinformes5,Maestro/Med,Chofer/Med,Mecanico/Med,Obreroconstr/Med,Tornero/Med,Jefedecocina/Med,Diretorfabrica/Med,Ingeniero/Med,Cajerobanco/Med,Secretariadireccion/Med,Dependienta/Med,Trabajadortext/Med
Helsinki94,edition1994,NORDEUROPE,82.10,79.30,52.80,45.00,1726.00,28.10,64.30,54.80,26.00,47.00,406.00,1597.00,400.00,610.00,910.00,620.00,570.00,2460.00,1.65,7.56,20200.00,22.00,194.00,350.00,32.00,7.80,17100.00,13700.00,12600.00,12800.00,16100.00,13700.00,30900.00,20700.00,13900.00,13700.00,10700.00,11300.00,13463.00,-0.03,-0.51,-0.03,-0.05,-0.04,1.27,1.02,0.94,0.95,1.20,1.02,2.30,1.54,1.03,1.02,0.79,0.84,1.50,1.07,0.82,-1.55,-0.26,0.37,0.45,-0.27,1.26191.27,1.01621.04,0.93180.94,0.94250.96,1.19571.21,0.98881.02,2.24042.30,1.49461.54,1.02251.05,1.01731.02,0.78430.79,0.83930.85
Hongkong91,Edition1991,ESTASIE,63.80,98.70,23.70,27.80,2375.00,10.90,37.10,43.60,14.00,24.00,299.00,1113.00,368.00,1025.00,6337.00,5808.00,1350.00,1621.00,0.78,3.17,21704.00,21.00,230.00,228.00,5.80,4.42,18690.00,9177.00,9847.00,6632.00,,13331.00,25589.00,16747.00,11924.00,11053.00,8641.00,6632.00,10500.00,1.01,-0.14,-0.05,0.32,0.22,1.78,0.87,0.94,0.63,,1.27,2.44,1.59,1.14,1.05,0.82,0.63,1.81,,0.73,-0.48,-0.45,-0.19,0.05,0.01,1.75201.78,0.84150.87,0.93180.94,0.61200.64,,1.25681.27,2.30372.44,1.59491.66,1.10881.14,1.03331.05,0.82190.83,0.61790.63
Hongkong94,edition1994,ESTASIE,68.40,97.50,23.70,25.60,2222.00,12.10,34.70,37.50,18.00,28.00,307.00,1330.00,460.00,850.00,8390.00,4260.00,1140.00,1850.00,1.29,3.55,19400.00,52.00,232.00,300.00,15.00,4.40,16500.00,12200.00,1400.00,1300.00,13500.00,14300.00,28500.00,28500.00,10000.00,11400.00,8600.00,10700.00,9777.00,1.03,0.54,-0.57,-0.73,0.49,1.69,1.25,0.14,0.13,1.38,1.46,2.91,2.91,1.02,1.17,0.88,1.09,2.78,0.76,0.99,0.64,-3.40,-1.62,3.32,-0.28,1.64861.73,1.22241.25,0.14320.57,0.13300.26,1.38081.43,1.41381.46,2.84203.00,2.91503.15,1.02251.05,1.15361.18,0.86100.88,0.93121.09
Houston91,Edition1991,NORDAMERIQUE,71.90,70.60,45.90,46.30,1978.00,9.00,63.80,64.30,10.00,27.00,386.00,1255.00,523.00,757.00,1199.00,549.00,400.00,1614.00,0.85,6.55,12996.00,26.00,145.00,261.00,20.30,7.44,14804.00,13130.00,13532.00,14335.00,15340.00,16613.00,21302.00,22700.00,8842.00,15005.00,9110.00,7905.00,14708.00,0.25,-0.71,0.48,-0.12,0.15,1.01,0.89,0.92,0.97,1.04,1.13,1.45,1.54,0.60,1.02,0.62,0.54,1.01,0.98,0.58,-1.22,1.16,0.17,-0.43,-1.02,0.99761.01,0.89270.95,0.92000.93,0.95920.97,1.03461.04,1.12261.13,1.41411.45,1.54341.58,0.60120.77,1.02021.03,0.58530.62,0.52530.55
Houston94,edition1994,NORDAMERIQUE,67.50,65.80,61.90,65.00,1964.00,9.50,91.70,96.30,11.00,17.00,362.00,1314.00,370.00,840.00,1000.00,530.00,430.00,1370.00,0.85,6.00,9500.00,23.00,149.00,280.00,17.20,11.20,23800.00,26900.00,27700.00,19500.00,25200.00,31100.00,34300.00,38900.00,19000.00,20500.00,18900.00,14800.00,21997.00,-3.45,-0.78,1.37,-0.23,0.04,1.08,1.22,1.26,0.89,1.15,1.41,1.56,1.77,0.86,0.93,0.86,0.67,1.10,1.20,0.77,-1.59,0.80,0.87,-0.16,0.51,1.07151.08,1.22241.25,1.19651.29,0.87910.89,1.13541.15,1.41381.46,1.44931.56,1.76381.77,0.82180.90,0.91860.94,0.85690.86,0.66990.67
Jakarta91,Edition1991,SUDASIEETAUSTRALI,43.60,63.80,,,,,,,,,214.00,761.00,134.00,328.00,3470.00,3095.00,940.00,1628.00,0.11,1.24,9847.00,14.00,188.00,121.00,,,804.00,1407.00,1139.00,603.00,402.00,7034.00,13666.00,4555.00,2747.00,2947.00,1072.00,402.00,3065.00,4.32,0.21,0.09,0.30,0.18,0.26,0.46,0.37,0.20,0.13,2.29,4.46,1.49,0.90,0.96,0.35,0.13,4.33,0.25,0.24,3.87,1.49,0.30,-2.69,-2.20,0.26230.47,0.30150.46,0.14320.57,0.13300.26,0.13120.75,2.29492.48,4.45875.22,1.43171.49,0.82180.90,0.95080.96,0.34980.46,0.13120.36
Jakarta94,edition1994,SUDASIEETAUSTRALI,53.20,70.60,8.10,9.60,1807.00,13.30,15.30,18.10,27.00,97.00,235.00,1035.00,690.00,610.00,3760.00,3360.00,980.00,2630.00,0.27,1.42,30400.00,22.00,245.00,190.00,2.60,1.80,1200.00,2200.00,4200.00,1800.00,4800.00,3500.00,10600.00,6400.00,3600.00,2900.00,1500.00,700.00,3253.00,4.08,-0.20,-0.11,0.21,0.14,0.37,0.68,1.29,0.55,1.48,1.08,3.26,1.97,1.11,0.89,0.46,0.22,3.04,1.38,0.34,0.32,4.12,-1.69,-0.94,0.85,0.26230.47,0.47120.68,1.19651.29,0.50250.61,1.43831.48,1.07591.11,3.25853.41,1.95971.98,1.09491.11,0.89150.92,0.34980.46,0.13120.36
Johannesburg91,Edition1991,AFRIQUE,51.10,52.20,25.00,24.00,1945.00,19.40,48.90,47.00,7.00,35.00,205.00,892.00,208.00,569.00,589.00,442.00,440.00,2767.00,1.00,5.01,12527.00,17.00,129.00,161.00,19.10,3.82,9579.00,7034.00,9847.00,3081.00,12527.00,8842.00,17417.00,16479.00,7168.00,9110.00,6364.00,2680.00,7427.00,2.19,-0.17,0.01,0.10,0.21,1.29,0.95,1.33,0.41,1.69,1.19,2.35,2.22,0.97,1.23,0.86,0.36,1.98,1.51,0.61,-0.03,2.15,-1.26,0.79,1.72,1.28601.29,0.89270.95,1.32581.34,0.41480.45,1.64351.88,1.18461.19,2.30372.44,2.21012.24,0.91530.97,1.21951.23,0.85690.86,0.36080.40
Johannesburg94,edition1994,AFRIQUE,47.80,46.10,23.50,21.60,1999.00,17.20,49.10,45.20,10.00,45.00,217.00,930.00,230.00,480.00,580.00,250.00,170.00,1990.00,0.85,4.46,15000.00,11.00,235.00,180.00,24.80,3.80,9400.00,5800.00,10200.00,3300.00,10900.00,7300.00,21400.00,20500.00,9200.00,7700.00,6700.00,4700.00,7596.00,2.08,-0.02,-0.12,-0.20,0.12,1.24,0.76,1.34,0.43,1.43,0.96,2.82,2.70,1.21,1.01,0.88,0.62,2.38,1.39,0.75,0.07,1.51,-0.29,1.06,1.58,1.22011.24,0.74670.76,1.32581.34,0.41480.45,1.38081.43,0.94800.96,2.69362.82,2.59302.70,1.21121.25,1.01101.02,0.88200.90,0.61790.63
KualaLumpur91,Edition1991,SUDASIEETAUSTRALI,43.50,43.30,9.00,9.90,2167.00,17.60,10.60,22.70,40.00,57.00,239.00,760.00,100.00,288.00,965.00,509.00,170.00,1588.00,0.23,0.90,10115.00,9.00,127.00,107.00,10.70,1.61,3952.00,3885.00,3148.00,2479.00,3952.00,5091.00,17015.00,9914.00,3550.00,4019.00,1608.00,1943.00,3484.00,3.70,0.02,-0.19,0.09,0.33,1.13,1.12,0.90,0.71,1.13,1.46,4.88,2.85,1.02,1.15,0.46,0.56,4.42,1.02,0.51,0.82,0.39,-1.82,-0.60,-0.14,1.12211.16,1.11511.12,0.88760.90,0.71150.74,1.12681.13,1.41381.46,4.45875.22,2.70132.85,1.01131.02,1.15361.18,0.46150.52,0.55770.56
KualaLumpur94,edition1994,SUDASIEETAUSTRALI,53.50,59.90,,,,,,,,,333.00,1042.00,180.00,300.00,2970.00,1670.00,330.00,2140.00,0.22,1.11,15800.00,15.00,130.00,170.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Lagos91,Edition1991,AFRIQUE,45.20,49.30,2.30,2.70,1786.00,22.80,5.10,6.00,216.00,130.00,305.00,788.00,161.00,188.00,1876.00,1172.00,280.00,2412.00,0.70,4.69,14536.00,18.00,85.00,107.00,8.40,0.40,670.00,536.00,335.00,335.00,536.00,603.00,3282.00,1608.00,1340.00,2412.00,,402.00,717.80,4.40,-0.27,-0.19,0.26,-0.69,0.93,0.75,0.47,0.47,0.75,0.84,4.57,2.24,1.87,3.36,,0.56,4.11,0.61,,5.08,-0.52,1.38,1.88,-2.45,0.91840.93,0.74670.76,0.14320.57,0.46340.48,0.13120.75,0.82050.87,4.45875.22,2.21012.24,1.86682.01,2.07253.36,,0.55770.56
Lagos94,edition1994,AFRIQUE,101.40,91.80,2.80,2.80,2069.00,18.40,2.80,2.80,108.00,683.00,736.00,1973.00,520.00,1220.00,1620.00,750.00,80.00,4250.00,0.46,11.55,25400.00,16.00,231.00,230.00,18.80,0.50,600.00,900.00,1400.00,700.00,1100.00,500.00,1500.00,1600.00,1200.00,1400.00,900.00,800.00,1035.00,4.81,-0.43,-0.34,0.25,-0.04,0.58,0.87,1.35,0.68,1.06,0.48,1.45,1.55,1.16,1.35,0.87,0.77,1.06,1.21,0.82,-0.84,1.86,2.06,0.95,0.32,0.51280.58,0.84150.87,1.35271.47,0.67630.70,1.06281.08,0.48310.75,1.44931.56,1.54341.58,1.14201.18,1.35001.38,0.86100.88,0.76530.78
Lisboa91,Edition1991,SUDEUROPE,56.20,58.40,17.90,18.80,1742.00,22.00,31.90,33.60,23.00,,232.00,980.00,415.00,831.00,1313.00,523.00,,1929.00,0.98,5.90,10182.00,13.00,131.00,181.00,14.40,3.01,8106.00,6699.00,4354.00,3416.00,5962.00,9311.00,10048.00,13532.00,5627.00,5426.00,3617.00,3483.00,5251.00,3.01,-0.14,-0.05,0.04,0.26,1.54,1.28,0.83,0.65,1.14,1.77,1.91,2.58,1.07,1.03,0.69,0.66,1.93,0.98,0.68,-0.28,-0.79,-0.83,0.00,-0.42,1.50071.59,1.27511.29,0.82240.84,0.64150.68,1.13541.15,1.69601.77,1.91011.94,2.43882.58,1.07161.09,1.03331.05,0.68210.70,0.65740.66
Lisboa94,edition1994,SUDEUROPE,51.40,55.90,23.10,23.10,1908.00,22.00,44.90,44.90,19.00,54.00,275.00,1001.00,240.00,420.00,1360.00,870.00,690.00,2020.00,0.55,3.76,20500.00,19.00,197.00,200.00,20.50,4.00,11300.00,6300.00,7300.00,6400.00,8600.00,9100.00,11000.00,15000.00,12500.00,7800.00,6300.00,5600.00,7632.00,2.17,-0.28,-0.14,0.09,-0.21,1.48,0.83,0.96,0.84,1.13,1.19,1.44,1.97,1.64,1.02,0.83,0.73,1.23,1.04,0.78,-0.65,-0.31,0.61,0.07,-0.41,1.46841.49,0.82550.84,0.95350.97,0.82370.84,1.12681.13,1.18461.19,1.41411.45,1.95971.98,1.60001.68,1.02021.03,0.82190.83,0.72360.74
London91,Edition1991,NORDEUROPE,84.20,93.60,45.50,46.20,1737.00,24.50,54.10,54.90,11.00,36.00,301.00,1470.00,656.00,717.00,2023.00,1681.00,1350.00,1762.00,1.86,7.58,17484.00,28.00,365.00,315.00,18.70,7.37,21101.00,15139.00,13867.00,10852.00,15139.00,10383.00,26058.00,19360.00,15139.00,15608.00,8441.00,8441.00,12799.00,0.22,-0.56,-0.47,0.30,0.03,1.65,1.18,1.08,0.85,1.18,0.81,2.04,1.51,1.18,1.22,0.66,0.66,1.38,1.13,0.66,-1.50,-0.20,-0.38,-0.40,-0.20,1.64861.73,1.14381.19,1.08341.09,0.84270.87,1.18101.19,0.78510.82,1.99352.04,1.49461.54,1.14201.18,1.21951.23,0.65950.68,0.65740.66
London94,edition1994,NORDEUROPE,69.60,74.10,47.90,41.70,1880.00,22.10,68.80,59.90,7.00,36.00,291.00,1354.00,340.00,570.00,1830.00,1410.00,810.00,2040.00,1.94,7.16,20100.00,23.00,375.00,300.00,31.30,7.10,19900.00,12700.00,14500.00,13400.00,17200.00,11600.00,25100.00,26800.00,14800.00,12600.00,8600.00,10000.00,13348.00,0.02,-0.63,-0.19,-0.21,0.18,1.49,0.95,1.09,1.00,1.29,0.87,1.88,2.01,1.11,0.94,0.64,0.75,1.36,1.19,0.70,-1.81,0.28,-0.49,-0.01,-0.37,1.46841.49,0.95150.97,1.08341.09,0.98231.03,1.28861.31,0.82050.87,1.84861.91,1.98072.12,1.10881.14,0.94290.95,0.62370.64,0.74670.76
LosAngeles91,Edition1991,NORDAMERIQUE,79.80,91.50,70.70,65.20,2068.00,10.00,88.60,81.60,15.00,20.00,389.00,1393.00,469.00,871.00,2499.00,1702.00,1200.00,1735.00,1.10,8.35,16747.00,25.00,235.00,295.00,25.40,10.45,29475.00,24719.00,20364.00,23714.00,31083.00,21369.00,33762.00,35638.00,16814.00,20230.00,17551.00,13666.00,21611.00,-3.03,-1.26,0.32,-0.18,0.32,1.36,1.14,0.94,1.10,1.44,0.99,1.56,1.65,0.78,0.94,0.81,0.63,1.02,1.19,0.72,-2.21,0.20,-0.40,0.29,0.24,1.36391.38,1.14381.19,0.93830.95,1.04981.10,1.43831.48,0.98881.02,1.56231.58,1.59491.66,0.77740.82,0.91860.94,0.81210.82,0.63240.66
LosAngeles94,edition1994,NORDAMERIQUE,68.20,75.40,68.80,68.80,1948.00,8.60,100.80,101.00,16.00,19.00,367.00,1328.00,360.00,920.00,2150.00,1700.00,830.00,1540.00,1.10,8.00,16500.00,49.00,210.00,320.00,20.80,11.90,27900.00,27600.00,25000.00,25700.00,31500.00,18200.00,31700.00,43600.00,22300.00,22100.00,10300.00,23800.00,23181.00,-3.64,-1.80,-0.34,-1.09,0.33,1.20,1.19,1.08,1.11,1.36,0.79,1.37,1.88,0.96,0.95,0.44,1.03,1.44,1.22,0.74,-3.01,0.24,-0.90,0.41,-1.31,1.16181.20,1.18961.21,1.06861.08,1.10871.12,1.35201.38,0.78510.82,0.91881.37,1.84501.88,0.91530.97,0.95080.96,0.34980.46,0.93121.09
Luxembourg91,Edition1991,CENTRALEUROPE,71.10,75.70,69.00,71.10,1768.00,29.50,97.00,100.00,9.00,20.00,322.00,1241.00,288.00,496.00,1393.00,723.00,980.00,2304.00,0.84,9.48,11187.00,19.00,182.00,221.00,18.30,11.39,36174.00,33427.00,15139.00,13599.00,25656.00,23111.00,52184.00,49102.00,31886.00,18958.00,14135.00,14536.00,20134.00,-3.43,0.62,-0.76,-0.24,0.82,1.80,1.66,0.75,0.68,1.27,1.15,2.59,2.44,1.58,0.94,0.70,0.72,1.92,1.01,0.71,-1.05,-2.21,-1.52,-0.25,0.71,1.79672.07,1.58951.69,0.68980.75,0.64150.68,1.26601.28,1.13401.16,2.54472.69,2.43882.58,1.50111.58,0.93710.94,0.69880.70,0.71890.72
Luxembourg94,edition1994,CENTRALEUROPE,70.40,75.20,78.40,80.40,1780.00,30.60,111.20,114.00,8.00,20.00,340.00,1371.00,330.00,570.00,1580.00,720.00,1080.00,2520.00,1.01,8.92,14900.00,31.00,227.00,320.00,19.40,13.80,50800.00,41600.00,16400.00,15500.00,30600.00,21400.00,62500.00,55300.00,42300.00,27100.00,15500.00,18800.00,24564.00,-5.24,0.69,-1.91,-0.09,0.78,2.07,1.69,0.67,0.63,1.25,0.87,2.54,2.25,1.72,1.10,0.63,0.77,1.91,0.96,0.70,-1.12,-2.89,-1.83,-0.24,0.29,1.79672.07,1.58951.69,0.57700.68,0.61200.64,1.24571.25,0.87120.95,2.48482.54,2.25112.35,1.72201.77,1.07691.11,0.62370.64,0.76530.78
Madrid91,Edition1991,SUDEUROPE,93.80,100.70,49.80,50.00,1710.00,32.00,53.10,53.30,10.00,54.00,410.00,1638.00,502.00,1125.00,1842.00,1380.00,1010.00,3778.00,1.06,3.92,17886.00,74.00,323.00,335.00,18.30,7.97,17886.00,14202.00,14536.00,8708.00,14938.00,20498.00,20498.00,26527.00,21034.00,18355.00,11321.00,7637.00,13631.00,-0.35,0.07,0.35,0.07,-0.38,1.31,1.04,1.07,0.64,1.10,1.50,1.50,1.95,1.54,1.35,0.83,0.56,1.39,1.08,0.70,0.22,0.31,0.61,-0.15,-0.13,1.30891.35,1.01621.04,1.03091.07,0.61200.64,1.09591.10,1.48831.56,1.44931.56,1.88561.95,1.50111.58,1.23951.35,0.83050.86,0.55770.56
Madrid94,edition1994,SUDEUROPE,60.60,63.50,42.00,42.60,1721.00,32.10,69.30,70.30,13.00,31.00,304.00,1180.00,290.00,590.00,1300.00,980.00,470.00,2500.00,0.91,4.20,12700.00,22.00,225.00,250.00,18.10,7.50,16600.00,14600.00,12900.00,7900.00,13400.00,20100.00,18400.00,23800.00,19100.00,16000.00,10100.00,8200.00,12908.00,0.06,0.00,0.32,0.09,-0.27,1.29,1.13,1.00,0.61,1.04,1.56,1.43,1.84,1.48,1.24,0.78,0.64,1.23,1.02,0.71,-0.07,-0.05,0.53,-0.22,-0.36,1.28601.29,1.12381.14,0.97841.00,0.61200.64,1.03461.04,1.48831.56,1.41411.45,1.79181.84,1.43541.50,1.23951.35,0.77420.78,0.63240.66
Manama91,Edition1991,PROCHEORIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Manama94,edition1994,PROCHEORIENT,62.00,63.40,20.70,25.10,2136.00,29.50,33.50,40.00,9.00,62.00,359.00,1206.00,310.00,750.00,1450.00,960.00,500.00,1790.00,0.13,5.29,15700.00,18.00,229.00,230.00,5.00,4.30,14800.00,7600.00,5300.00,2600.00,10400.00,25600.00,60300.00,18000.00,20700.00,12400.00,6500.00,2100.00,9185.00,0.82,2.05,0.70,0.81,0.62,1.61,0.83,0.58,0.28,1.13,2.79,6.57,1.96,2.25,1.35,0.71,0.23,6.34,0.85,0.47,4.09,-0.75,-2.03,-1.84,0.23,1.61131.62,0.82550.84,0.57700.68,0.25910.28,1.12681.13,2.78713.50,6.56519.13,1.95971.98,2.10982.82,1.35001.38,0.70500.72,0.13120.36
Manila91,Edition1991,SUDASIEETAUSTRALI,40.00,43.40,3.70,4.00,2268.00,16.90,9.20,9.90,86.00,165.00,226.00,698.00,127.00,228.00,1742.00,583.00,300.00,1708.00,0.30,1.57,14737.00,15.00,196.00,94.00,13.70,0.60,1675.00,1139.00,1273.00,1005.00,1340.00,2947.00,3885.00,2947.00,2479.00,1675.00,1005.00,1273.00,1367.00,4.57,-0.27,-0.22,0.25,0.02,1.23,0.83,0.93,0.74,0.98,2.16,2.84,2.16,1.81,1.23,0.74,0.93,2.11,0.96,0.83,0.74,-0.50,0.67,0.05,-1.41,1.22011.24,0.82550.84,0.92000.93,0.71150.74,0.97170.99,2.08512.16,2.84203.00,2.14952.20,1.77501.81,1.21951.23,0.73360.75,0.93121.09
Manila94,edition1994,SUDASIEETAUSTRALI,47.60,51.00,6.10,6.70,2217.00,15.00,12.70,14.00,49.00,126.00,283.00,926.00,150.00,320.00,1820.00,910.00,360.00,2100.00,0.11,0.91,18900.00,33.00,150.00,160.00,12.00,1.10,3300.00,1800.00,1800.00,1300.00,3200.00,5700.00,9700.00,6600.00,4100.00,2800.00,2100.00,1600.00,2439.00,4.05,-0.03,-0.10,0.19,0.12,1.35,0.74,0.74,0.53,1.31,2.34,3.98,2.71,1.68,1.15,0.86,0.66,3.44,1.03,0.76,1.95,-0.35,-0.77,0.56,-0.08,1.30891.35,0.67980.74,0.68980.75,0.50250.61,1.28861.31,2.29492.48,3.65754.38,2.70132.85,1.60001.68,1.12651.15,0.86100.88,0.63240.66
Mexico91,Edition1991,NORDAMERIQUE,49.80,53.30,4.70,5.70,1944.00,10.10,9.50,11.50,37.00,235.00,214.00,869.00,382.00,616.00,2907.00,362.00,180.00,1896.00,0.09,2.81,12661.00,31.00,148.00,161.00,4.70,0.94,2010.00,1943.00,1943.00,1273.00,1809.00,1943.00,1675.00,3483.00,2880.00,1675.00,1742.00,1273.00,1823.00,4.50,-0.39,-0.29,0.24,-0.06,1.10,1.07,1.07,0.70,0.99,1.07,0.92,1.91,1.58,0.92,0.96,0.70,1.21,1.03,0.83,-0.80,-0.04,1.65,0.05,0.56,1.09801.11,1.06581.09,1.03091.07,0.67630.70,0.98670.99,1.06021.07,0.91881.37,1.88561.95,1.50111.58,0.91860.94,0.95561.05,0.68520.70
Mexico94,edition1994,NORDAMERIQUE,50.10,54.60,13.80,15.10,2094.00,15.90,27.50,30.10,27.00,90.00,253.00,976.00,240.00,740.00,2510.00,1220.00,340.00,1850.00,0.12,2.58,10900.00,27.00,192.00,220.00,11.90,2.60,5000.00,6800.00,8000.00,1600.00,7100.00,8500.00,11300.00,20100.00,4200.00,5400.00,5300.00,3000.00,5444.00,2.83,-0.07,0.12,-0.32,0.25,0.92,1.25,1.47,0.29,1.30,1.56,2.08,3.69,0.77,0.99,0.97,0.55,3.40,1.39,0.76,0.42,1.71,0.20,1.22,2.29,0.91840.93,1.22241.25,1.35271.47,0.29390.36,1.28861.31,1.56131.69,2.04252.08,3.15043.69,0.60120.77,0.97161.00,0.95561.05,0.52530.55
Milan91,Edition1991,SUDEUROPE,82.00,86.80,56.20,53.30,1773.00,24.60,68.60,65.00,17.00,33.00,395.00,1431.00,476.00,837.00,1916.00,998.00,440.00,2646.00,0.77,9.59,13197.00,38.00,359.00,301.00,24.60,8.51,14737.00,20029.00,15139.00,10986.00,17283.00,20900.00,23044.00,28068.00,22642.00,14135.00,13331.00,12795.00,15084.00,-0.88,-0.23,0.36,-0.21,-0.39,0.98,1.33,1.00,0.73,1.15,1.39,1.53,1.86,1.50,0.94,0.88,0.85,1.13,1.07,0.87,-1.13,-0.40,0.90,0.32,0.41,0.93910.99,1.32781.40,1.00361.01,0.71150.74,1.14581.17,1.38391.41,1.44931.56,1.84501.88,1.50111.58,0.93710.94,0.88200.90,0.83930.85
Milan94,edition1994,SUDEUROPE,64.40,70.40,48.50,42.20,1785.00,24.80,75.30,65.60,23.00,36.00,354.00,1253.00,390.00,750.00,1470.00,1170.00,670.00,1890.00,0.74,8.89,15200.00,31.00,307.00,270.00,31.10,7.30,13000.00,16700.00,13100.00,9800.00,14500.00,17200.00,20400.00,23100.00,18500.00,12500.00,11800.00,11400.00,13031.00,-0.02,-0.34,0.22,-0.14,-0.37,1.00,1.28,1.01,0.75,1.11,1.32,1.57,1.77,1.42,0.96,0.91,0.87,1.02,1.06,0.89,-1.20,-0.44,1.13,0.44,0.33,0.99761.01,1.27511.29,1.00361.01,0.73780.78,1.11231.13,1.28081.35,1.56231.58,1.77191.79,1.41141.43,0.95080.96,0.90550.95,0.85520.88
Montreal91,Edition1991,NORDAMERIQUE,72.70,73.80,64.10,56.30,1827.00,17.20,88.10,77.40,10.00,21.00,316.00,1269.00,375.00,670.00,1246.00,623.00,710.00,2023.00,1.25,6.22,11455.00,28.00,180.00,248.00,29.80,8.98,21101.00,21838.00,18355.00,17216.00,22173.00,19427.00,26795.00,22240.00,13465.00,13532.00,11790.00,10986.00,16400.00,-1.05,-1.10,0.47,0.30,0.37,1.29,1.33,1.12,1.05,1.35,1.18,1.63,1.36,0.82,0.83,0.72,0.67,0.96,1.24,0.69,-2.63,0.41,-0.40,-0.47,0.27,1.28601.29,1.32781.40,1.11871.15,1.04981.10,1.35201.38,1.18461.19,1.59821.64,1.31911.36,0.77740.82,0.75670.83,0.70500.72,0.66990.67
Montreal94,edition1994,NORDAMERIQUE,60.90,59.20,62.10,58.10,1896.00,15.00,101.90,95.30,12.00,21.00,291.00,1186.00,380.00,660.00,1050.00,440.00,360.00,2100.00,1.42,5.81,10800.00,27.00,163.00,250.00,25.40,10.10,21200.00,21500.00,21100.00,20400.00,21300.00,20700.00,35400.00,30200.00,22300.00,19200.00,13500.00,14300.00,19150.00,-2.17,-0.77,0.40,-0.09,-0.20,1.11,1.12,1.10,1.07,1.11,1.08,1.85,1.58,1.16,1.00,0.70,0.75,1.14,1.11,0.73,-1.75,0.39,0.55,-0.46,-0.37,1.09801.11,1.11511.12,1.09471.11,1.04981.10,1.11231.13,1.07591.11,1.84861.91,1.54341.58,1.14201.18,1.00261.01,0.70500.72,0.74670.76
Nairobi91,Edition1991,AFRIQUE,45.00,45.30,5.10,5.80,1958.00,28.50,11.40,12.80,31.00,82.00,143.00,786.00,80.00,295.00,817.00,610.00,290.00,2358.00,0.20,3.56,18958.00,9.00,108.00,121.00,10.40,0.94,1474.00,670.00,2010.00,469.00,1809.00,6498.00,3818.00,3885.00,3684.00,3684.00,871.00,737.00,1836.00,4.36,-0.10,0.04,0.28,-0.01,0.80,0.36,1.09,0.26,0.99,3.54,2.08,2.12,2.01,2.01,0.47,0.40,3.28,1.04,0.44,4.24,2.82,-0.09,-0.85,-3.25,0.77720.84,0.30150.46,1.09471.11,0.13300.26,0.97170.99,3.53923.64,2.07952.10,1.98072.12,1.86682.01,1.83252.01,0.46150.52,0.36080.40
Nairobi94,edition1994,AFRIQUE,31.30,30.20,2.10,2.30,1930.00,25.30,6.80,7.40,44.00,177.00,112.00,610.00,50.00,160.00,500.00,240.00,160.00,2350.00,0.11,3.05,12600.00,8.00,112.00,90.00,12.70,0.40,600.00,400.00,700.00,200.00,800.00,2700.00,1500.00,2400.00,1400.00,1600.00,400.00,300.00,772.00,4.82,-0.26,-0.20,0.25,0.03,0.78,0.52,0.91,0.26,1.04,3.50,1.94,3.11,1.81,2.07,0.52,0.39,3.24,0.97,0.45,4.67,2.27,-0.45,-0.03,-3.03,0.77720.84,0.47120.68,0.90670.92,0.25910.28,1.03461.04,2.78713.50,1.91011.94,2.91503.15,1.77501.81,2.07253.36,0.46150.52,0.36080.40
