1	70	2	2	2	2
2	43	2	2	2	2
3	47	2	2	2	2
4	31	2	2	1	2
5	45	2	2	1	1
6	24	1	2	2	2
7	52	2	2	2	2
8	64	1	2	1	2
9	63	2	2	2	2
10	51	1	2	2	1
11	55	2	2	2	2
12	56	1	2	2	2
13	54	1	2	2	2
14	52	2	2	2	2
15	63	2	2	2	1
16	78	1	2	2	2
17	73	2	2	2	2
18	74	2	2	2	2
19	42	2	2	2	1
20	64	2	2	2	2
21	42	2	2	2	1
22	19	2	1	2	2
23	29	2	1	2	2
24	26	1	1	1	1
25	22	2	1	2	2
26	44	1	2	1	1
27	70	1	2	2	2
28	47	2	2	2	2
29	46	2	2	2	2
30	61	1	2	2	2
31	48	1	2	1	1
32	43	1	2	1	1
33	28	2	2	1	2
34	51	2	2	2	2
35	74	1	2	2	1
36	59	2	2	2	1
37	41	1	2	1	1
38	52	1	2	1	2
39	46	1	2	2	1
40	23	1	1	2	2
41	59	1	2	2	2
42	57	2	2	2	2
43	42	2	2	2	2
44	54	2	2	2	2
45	58	2	2	2	2
46	67	2	2	2	2
47	53	2	2	2	2
48	48	2	2	2	2
49	21	1	1	1	2
50	69	1	2	2	1
51	21	2	1	2	2
52	23	1	1	2	1
53	69	1	2	1	2
54	41	1	2	2	1
55	74	1	2	2	1
56	26	1	1	2	2
57	20	1	1	2	2
58	59	2	2	2	2
59	42	2	2	2	2
60	41	2	2	2	1
61	29	2	2	2	2
62	39	2	2	2	2
63	47	2	2	2	2
64	51	2	2	2	2
65	54	2	2	2	2
66	29	2	2	1	2
67	48	1	1	2	1
68	65	2	2	2	2
69	42	2	2	2	2
70	51	1	2	1	1
71	60	1	2	2	1
72	78	2	3	2	2
73	34	1	2	1	1
74	36	1	2	2	2
75	72	1	2	2	2
76	61	1	2	1	1
77	33	1	4	1	1
78	46	2	2	2	2
79	70	2	2	2	2
80	42	2	2	1	1
81	26	2	2	2	2
82	66	1	3	2	2
83	21	2	1	1	1
84	46	1	2	1	2
85	67	2	3	2	2
86	46	1	2	1	2
87	45	2	2	1	2
88	48	2	4	2	1
89	70	1	2	2	2
90	55	1	2	2	1
91	55	1	4	2	2
92	63	1	2	1	1
93	45	1	2	1	2
94	63	2	2	2	2
95	66	1	2	2	2
96	49	2	2	2	2
97	25	2	2	2	2
98	21	2	1	2	2
99	69	1	2	2	2
100	49	2	2	2	2
101	55	2	2	2	2
102	31	1	2	1	2
103	62	2	2	2	2
104	30	2	2	2	2
105	66	2	2	2	2
106	46	1	4	1	2
107	64	2	2	2	2
108	85	2	3	2	2
109	34	2	2	2	2
110	30	1	2	2	2
111	24	2	2	2	2
112	32	1	4	1	1
113	63	2	2	2	2
114	26	1	2	1	1
115	22	2	2	2	2
116	58	1	2	2	2
117	26	1	2	1	2
118	77	1	2	2	2
119	29	2	1	2	2
